time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag,roll_mean_delta_m_per_s,roll_std_delta_m_per_s,zscore_win_delta_m_per_s,edge_flag_win
1760375226879212117,2025-10-13T17:07:06.879Z,0.504,0.204,-0.030213,-0.917612,0,-0.007006799999999996,0.023442087042438806,-0.989937455568194,0
1760375226979302349,2025-10-13T17:07:06.979Z,0.51,0.21,0.059947,1.967751,0,-0.004520349999999998,0.0276287096871412,2.333346389679719,0
1760375227079526677,2025-10-13T17:07:07.079Z,0.512,0.212,0.019955,0.611754,0,-0.002518199999999997,0.027890844865767872,0.8057554408322253,0
1760375227181165661,2025-10-13T17:07:07.181Z,0.515,0.215,0.029516,0.833282,0,-0.0005405999999999967,0.028719642954092246,1.046552007907788,0
1760375227288508997,2025-10-13T17:07:07.288Z,0.513,0.213,-0.018635,-0.560025,0,2.5450000000003593e-05,0.028216524869909557,-0.6613305531433367,0
1760375227381477104,2025-10-13T17:07:07.381Z,0.517,0.217,0.043016,1.111601,0,0.0026761000000000033,0.02967764728208781,1.3592687997322308,0
1760375227482755990,2025-10-13T17:07:07.482Z,0.513,0.213,-0.039495,-1.426223,0,0.001679300000000003,0.030778172387005445,-1.3377759888492862,0
1760375227580921423,2025-10-13T17:07:07.580Z,0.509,0.209,-0.040747,-1.272757,0,0.0011771500000000035,0.031409763596481524,-1.3347489824691416,0
1760375227681473010,2025-10-13T17:07:07.681Z,0.51,0.21,0.009945,0.214707,0,0.0006907000000000034,0.031182738811721046,0.29677636899942433,0
1760375227785546422,2025-10-13T17:07:07.785Z,0.505,0.205,-0.048044,-1.198891,0,-0.0037052499999999967,0.03156286532732836,-1.404775819310986,0
1760375227885385192,2025-10-13T17:07:07.885Z,0.501,0.201,-0.040083,-0.945978,0,-0.0036527999999999964,0.03149820291047551,-1.1565802691519342,0
1760375227993289578,2025-10-13T17:07:07.993Z,0.499,0.199,-0.018528,-0.246761,0,-0.005085099999999997,0.031490354347591204,-0.4268894484837162,0
1760375228082024799,2025-10-13T17:07:08.082Z,0.504,0.204,0.056342,1.634558,0,-0.0022679999999999966,0.034358723128961675,1.7058259056954426,0
1760375228184385147,2025-10-13T17:07:08.184Z,0.508,0.208,0.039097,1.130051,0,-0.001329949999999996,0.03525280048520989,1.1467727228354778,0
1760375228282744407,2025-10-13T17:07:08.282Z,0.512,0.212,0.040665,1.05054,0,-0.0003025499999999962,0.0361975079434092,1.1317781893728218,0
1760375228381576773,2025-10-13T17:07:08.381Z,0.51,0.21,-0.020228,-0.358396,0,-0.0003162499999999964,0.03620538805623613,-0.5499664847970146,0
1760375228483931836,2025-10-13T17:07:08.483Z,0.512,0.212,0.01954,0.516242,0,0.0031043500000000035,0.034571338966312815,0.4754125958504329,0
1760375228580553796,2025-10-13T17:07:08.580Z,0.512,0.212,0.0,0.005113,0,0.0031043500000000035,0.034571338966312815,-0.08979548067331035,0
1760375228681845359,2025-10-13T17:07:08.681Z,0.505,0.205,-0.069132,-1.542804,0,-0.0008565999999999962,0.03808848592616124,-1.7925469689805849,0
1760375228781881075,2025-10-13T17:07:08.781Z,0.501,0.201,-0.039975,-0.787841,0,-0.002352849999999996,0.03904442663681185,-0.963572864059658,0
